Speed_kmph,Direction_degree,Latitude,Longitude,GPS_Status
26.11,140.48,26.919605,75.795878,1.0
44.36,138.04,26.918801,75.794937,0.0
26.86,109.55,26.914713,75.790165,0.0
39.99,98.54,26.912933,75.788094,1.0
28.56,126.45,26.917267,75.793148,0.0
39.87,125.29,26.917063,75.792912,0.0
44.51,95.03,26.91242,75.787488,1.0
52.63,148.26,26.920748,75.797204,1.0
40.44,147.44,26.920361,75.796756,1.0
25.14,128.38,26.917749,75.793703,0.0
42.43,103.84,26.913813,75.789114,1.0
31.14,137.25,26.919007,75.795178,0.0
41.31,105.78,26.914535,75.789953,0.0
28.79,118.88,26.91646,75.792211,0.0
47.76,140.63,26.919365,75.795599,1.0
46.53,143.0,26.920073,75.796422,1.0
41.81,109.62,26.91458,75.790012,0.0
30.72,105.47,26.914186,75.789548,1.0
39.92,105.81,26.914363,75.789761,1.0
36.16,108.96,26.91477,75.790234,0.0
23.49,109.48,26.914932,75.790414,0.0
22.85,135.95,26.918853,75.794995,0.0
51.99,104.04,26.913695,75.788971,1.0
36.48,110.82,26.914763,75.790221,0.0
27.49,125.28,26.917139,75.792991,0.0
47.71,100.97,26.913707,75.78899,1.0
22.47,133.4,26.918208,75.794238,0.0
27.77,126.45,26.917649,75.793597,0.0
44.82,108.95,26.914698,75.790154,0.0
32.45,125.06,26.916849,75.792654,0.0
24.62,125.77,26.917589,75.793523,0.0
25.02,138.25,26.918815,75.794956,0.0
21.71,113.37,26.915708,75.791324,0.0
54.08,143.25,26.920181,75.796548,1.0
36.47,97.72,26.912766,75.787894,1.0
29.52,134.84,26.918729,75.794852,0.0
42.57,149.8,26.920988,75.797483,1.0
46.12,93.1,26.91265,75.787753,1.0
21.4,114.51,26.91572,75.791338,0.0
26.84,124.8,26.917325,75.793217,0.0
48.43,96.47,26.912742,75.787867,1.0
48.14,150.34,26.920674,75.797125,1.0
22.33,133.95,26.918697,75.794811,0.0
41.76,91.44,26.912469,75.787544,1.0
40.22,128.14,26.91776,75.79372,0.0
36.15,128.17,26.917831,75.793808,0.0
43.13,98.9,26.912949,75.788103,1.0
35.85,147.32,26.920532,75.796951,1.0
40.0,96.01,26.912579,75.787672,1.0
53.68,142.97,26.919881,75.796201,1.0
30.02,137.31,26.918924,75.795081,0.0
52.53,90.81,26.912215,75.787253,1.0
37.04,101.64,26.913658,75.788935,1.0
43.46,125.04,26.917535,75.793454,0.0
28.97,107.81,26.915011,75.790512,0.0
22.43,109.32,26.914943,75.790427,0.0
50.95,150.07,26.920699,75.797153,1.0
24.25,108.16,26.914613,75.790055,0.0
50.75,98.79,26.912993,75.788165,1.0
28.13,111.08,26.915208,75.790738,0.0
26.87,134.36,26.918376,75.79443,0.0
37.96,98.47,26.912909,75.788062,1.0
31.77,126.23,26.917688,75.793637,0.0
49.73,87.6,26.912013,75.787017,1.0
33.86,114.74,26.915758,75.791385,0.0
38.54,110.66,26.91512,75.790642,0.0
41.35,137.28,26.919417,75.795649,1.0
34.04,106.74,26.914907,75.790386,0.0
39.09,94.25,26.912734,75.787852,1.0
26.9,137.47,26.919304,75.795528,1.0
21.44,129.82,26.917772,75.793736,0.0
25.95,108.03,26.915107,75.790623,0.0
37.12,134.56,26.918262,75.794311,0.0
47.05,147.69,26.920907,75.797392,1.0
26.06,133.61,26.918169,75.794194,0.0
33.58,117.27,26.916366,75.792098,0.0
38.42,90.4,26.91217,75.787193,1.0
43.39,145.64,26.920147,75.796505,1.0
36.54,128.13,26.917856,75.793833,0.0
38.65,111.85,26.915418,75.790989,0.0
26.27,119.59,26.916777,75.792572,0.0
40.9,144.57,26.920579,75.79701,1.0
22.56,115.91,26.916083,75.791763,0.0
35.54,137.78,26.919561,75.795819,1.0
36.81,148.56,26.920758,75.797218,1.0
29.89,113.08,26.91561,75.791213,0.0
41.11,114.14,26.915598,75.791201,0.0
38.28,145.22,26.920032,75.796366,1.0
29.05,114.45,26.915923,75.791575,0.0
43.05,97.2,26.91315,75.788341,1.0
52.19,94.29,26.912489,75.787572,1.0
33.46,123.66,26.917379,75.793274,0.0
23.5,133.76,26.918568,75.79466,0.0
35.92,109.65,26.914749,75.790207,0.0
54.28,144.49,26.920338,75.796728,1.0
21.06,115.85,26.915548,75.791147,0.0
38.11,133.1,26.918132,75.794154,0.0
52.57,89.91,26.912387,75.787446,1.0
35.13,144.04,26.920243,75.796616,1.0
35.19,105.18,26.914236,75.789607,1.0
42.37,119.34,26.916403,75.792142,0.0
43.09,97.69,26.913485,75.788736,1.0
44.49,99.87,26.913354,75.78858,1.0
40.33,117.43,26.915901,75.791553,0.0
49.34,147.5,26.920787,75.797251,1.0
47.11,103.1,26.914176,75.789535,1.0
31.33,101.02,26.913969,75.789292,1.0
46.9,92.36,26.912697,75.78781,1.0
39.73,135.96,26.918909,75.795068,0.0
39.57,125.81,26.917174,75.793035,0.0
21.65,114.3,26.915837,75.791481,0.0
33.15,118.72,26.91626,75.791974,0.0
40.38,112.5,26.915646,75.791253,0.0
44.16,114.87,26.916059,75.791734,0.0
28.32,133.58,26.918148,75.794164,0.0
36.07,114.46,26.915368,75.790937,0.0
31.25,123.71,26.916717,75.792501,0.0
52.83,98.91,26.913333,75.788556,1.0
38.19,107.78,26.914243,75.789617,1.0
35.44,150.29,26.920797,75.797265,1.0
39.34,136.96,26.918596,75.794698,0.0
34.48,130.58,26.918239,75.794277,0.0
30.82,119.34,26.916743,75.792526,0.0
25.06,141.71,26.91955,75.795808,1.0
43.72,138.69,26.919202,75.795398,1.0
21.23,110.58,26.914725,75.790178,0.0
45.72,90.95,26.9121,75.787111,1.0
22.71,111.59,26.91489,75.79037,0.0
38.99,133.28,26.918441,75.794517,0.0
30.73,117.74,26.916237,75.79194,0.0
45.6,142.56,26.920278,75.79666,1.0
51.95,91.94,26.912085,75.7871,1.0
28.64,107.31,26.914665,75.790109,0.0
30.4,139.52,26.919036,75.795201,0.0
40.58,122.21,26.916701,75.792492,0.0
40.88,119.79,26.916031,75.791708,0.0
55.0,102.09,26.913559,75.788821,1.0
21.58,134.87,26.918743,75.794867,0.0
43.57,100.25,26.913679,75.78896,1.0
34.39,113.27,26.915565,75.79116,0.0
30.39,138.21,26.919681,75.795962,1.0
21.52,132.55,26.918016,75.794017,0.0
36.81,111.84,26.914881,75.790363,0.0
36.14,96.6,26.912673,75.787784,1.0
40.38,131.96,26.918406,75.794475,0.0
44.1,97.21,26.912635,75.787746,1.0
36.65,141.62,26.919944,75.796269,1.0
54.92,94.08,26.912288,75.78734,1.0
23.58,128.8,26.918001,75.793998,0.0
31.54,117.12,26.916042,75.791717,0.0
51.04,95.16,26.912987,75.78815,1.0
40.62,110.28,26.91482,75.790292,0.0
36.85,130.2,26.918386,75.794451,0.0
23.75,125.94,26.917735,75.793692,0.0
41.03,121.83,26.917193,75.793063,0.0
38.35,120.42,26.916899,75.792716,0.0
30.94,117.07,26.916108,75.791786,0.0
28.46,116.4,26.915829,75.791468,0.0
49.3,101.72,26.913641,75.78892,1.0
35.23,92.22,26.912302,75.787351,1.0
43.44,90.19,26.91202,75.787026,1.0
28.5,113.04,26.915392,75.790965,0.0
45.01,94.46,26.912333,75.787395,1.0
45.92,98.08,26.913465,75.788706,1.0
30.05,102.43,26.914052,75.789395,1.0
23.47,114.79,26.916166,75.791858,0.0
36.01,99.12,26.913523,75.788776,1.0
29.19,114.16,26.91535,75.790907,0.0
33.42,137.93,26.918949,75.795103,0.0
43.38,97.41,26.912721,75.78784,1.0
44.07,144.81,26.920005,75.796336,1.0
51.9,141.69,26.920195,75.796562,1.0
54.25,96.73,26.913066,75.788243,1.0
32.28,120.35,26.916593,75.792365,0.0
28.74,117.45,26.916112,75.791798,0.0
43.13,144.17,26.920388,75.79679,1.0
52.62,93.15,26.912783,75.787909,1.0
31.67,101.0,26.913822,75.78913,1.0
28.03,123.86,26.917449,75.793359,0.0
40.47,135.92,26.91889,75.795035,0.0
21.82,122.39,26.916868,75.792684,0.0
25.21,144.29,26.919706,75.795991,1.0
21.22,128.09,26.917954,75.793943,0.0
24.98,121.11,26.917076,75.792922,0.0
34.95,128.73,26.917989,75.793985,0.0
25.89,114.69,26.916132,75.791815,0.0
32.44,121.25,26.916419,75.792152,0.0
28.51,133.3,26.91859,75.79469,0.0
43.92,139.32,26.919352,75.795584,1.0
28.92,118.19,26.916382,75.792113,0.0
49.09,89.54,26.912116,75.787138,1.0
50.41,141.29,26.919904,75.796223,1.0
51.4,145.13,26.920325,75.796717,1.0
44.52,106.49,26.914472,75.78988,0.0
36.42,95.63,26.912481,75.787558,1.0
41.81,143.81,26.919725,75.796015,1.0
44.59,138.0,26.918973,75.795133,0.0
52.67,145.59,26.920564,75.796997,1.0
21.93,117.95,26.915951,75.791603,0.0
22.82,125.5,26.917541,75.793468,0.0
31.18,140.88,26.919511,75.795764,1.0
30.15,131.16,26.918421,75.794494,0.0
52.29,98.69,26.912964,75.788122,1.0
32.27,133.67,26.918611,75.794718,0.0
51.93,147.96,26.920811,75.79728,1.0
20.19,111.18,26.915502,75.791086,0.0
27.63,138.16,26.919346,75.795571,1.0
43.69,114.07,26.915936,75.79159,0.0
41.14,118.19,26.916619,75.792389,0.0
43.75,138.53,26.919288,75.795498,1.0
28.47,106.72,26.914829,75.790308,0.0
21.54,128.6,26.917724,75.793678,0.0
37.73,150.63,26.920829,75.797308,1.0
35.65,132.99,26.918023,75.794028,0.0
48.35,101.5,26.913324,75.788541,1.0
31.44,117.16,26.916342,75.792064,0.0
37.2,127.2,26.917156,75.79302,0.0
36.37,109.54,26.914505,75.789926,0.0
21.42,117.07,26.915735,75.791351,0.0
27.86,137.8,26.919623,75.79589,1.0
53.29,90.0,26.912228,75.787264,1.0
25.43,129.78,26.917967,75.793954,0.0
49.02,104.61,26.913786,75.789082,1.0
43.32,101.79,26.914032,75.789364,1.0
39.98,100.53,26.913311,75.788526,1.0
32.19,103.8,26.914308,75.789689,1.0
39.08,123.03,26.916956,75.792782,0.0
51.93,142.89,26.919988,75.796321,1.0
39.51,124.32,26.916729,75.792513,0.0
46.23,93.99,26.912238,75.787281,1.0
36.6,89.55,26.91213,75.787151,1.0
26.95,136.91,26.919209,75.795411,1.0
42.11,144.8,26.920436,75.796843,1.0
36.94,93.32,26.912527,75.787615,1.0
28.98,131.26,26.91819,75.794224,0.0
46.01,95.94,26.912584,75.78769,1.0
23.64,109.12,26.914604,75.790039,0.0
50.92,98.17,26.913209,75.788411,1.0
38.46,145.72,26.920554,75.796979,1.0
47.74,96.15,26.912874,75.788024,1.0
22.38,131.47,26.91848,75.794556,0.0
25.57,127.99,26.917876,75.793856,0.0
26.23,136.3,26.919271,75.79548,1.0
37.71,137.0,26.918876,75.79502,0.0
42.99,91.74,26.91225,75.787298,1.0
43.84,100.41,26.913198,75.7884,1.0
44.69,146.85,26.920631,75.797066,1.0
39.02,93.86,26.912442,75.787522,1.0
42.65,116.15,26.915635,75.791244,0.0
37.14,96.15,26.912828,75.787964,1.0
38.52,95.94,26.9133,75.788512,1.0
45.24,138.83,26.919521,75.795778,1.0
51.14,145.03,26.920062,75.796405,1.0
49.65,149.8,26.92098,75.797475,1.0
53.84,147.61,26.920819,75.797287,1.0
40.37,99.12,26.913743,75.789033,1.0
36.12,150.0,26.920692,75.797134,1.0
42.06,105.96,26.914223,75.789589,1.0
45.63,103.32,26.913932,75.789257,1.0
31.97,111.06,26.915167,75.790697,0.0
35.09,101.0,26.913893,75.78921,1.0
40.34,91.69,26.912313,75.787361,1.0
26.19,125.49,26.917702,75.793653,0.0
36.84,131.22,26.917892,75.793874,0.0
34.35,129.02,26.91746,75.793372,0.0
44.6,135.24,26.91909,75.795271,0.0
32.08,108.37,26.914686,75.790137,0.0
35.14,113.56,26.915213,75.790754,0.0
27.66,120.82,26.916453,75.792193,0.0
44.71,91.43,26.91261,75.787713,1.0
21.64,111.57,26.91519,75.790725,0.0
43.54,123.32,26.916797,75.792601,0.0
54.94,147.81,26.920294,75.796671,1.0
45.83,107.58,26.914379,75.78977,1.0
46.97,101.72,26.914136,75.789492,1.0
41.66,101.43,26.914103,75.789453,1.0
23.43,123.66,26.917087,75.792936,0.0
35.61,112.55,26.915699,75.791313,0.0
43.27,119.35,26.916143,75.791831,0.0
38.91,143.35,26.920235,75.796606,1.0
49.96,148.22,26.920458,75.79687,1.0
41.02,96.56,26.913176,75.788368,1.0
39.95,132.17,26.918638,75.794739,0.0
34.35,121.22,26.916548,75.792305,0.0
39.45,110.9,26.915132,75.790651,0.0
41.7,130.56,26.918495,75.794574,0.0
32.37,123.1,26.916995,75.792825,0.0
40.83,115.77,26.915542,75.791127,0.0
43.93,147.09,26.92095,75.797442,1.0
42.86,131.82,26.918215,75.794251,0.0
43.62,103.42,26.914281,75.789662,1.0
50.92,94.42,26.912927,75.788081,1.0
20.41,116.02,26.916224,75.791926,0.0
54.09,142.4,26.91986,75.796167,1.0
26.74,134.17,26.918669,75.794781,0.0
34.53,100.12,26.913857,75.789168,1.0
34.59,125.28,26.917181,75.793049,0.0
27.26,124.76,26.91735,75.793246,0.0
34.17,103.48,26.914066,75.78941,1.0
42.37,104.59,26.914079,75.789424,1.0
39.95,142.53,26.919764,75.79606,1.0
39.28,93.79,26.912501,75.787591,1.0
39.9,95.76,26.913248,75.788459,1.0
43.64,113.16,26.91514,75.79067,0.0
39.45,95.55,26.913011,75.788176,1.0
31.18,141.03,26.919587,75.795847,1.0
46.49,105.45,26.914193,75.789563,1.0
33.64,120.57,26.916439,75.792177,0.0
47.86,103.22,26.914331,75.789716,1.0
43.43,100.95,26.913847,75.789158,1.0
37.29,138.75,26.91957,75.795833,1.0
43.01,122.25,26.917235,75.793106,0.0
42.61,101.12,26.913436,75.788679,1.0
33.28,125.48,26.917401,75.793296,0.0
44.5,127.43,26.917343,75.793234,0.0
21.05,121.97,26.916359,75.792082,0.0
41.89,101.05,26.914037,75.789377,1.0
36.27,109.81,26.91523,75.790768,0.0
51.72,144.65,26.920423,75.796825,1.0
28.31,120.6,26.916304,75.792026,0.0
37.14,115.62,26.915912,75.791565,0.0
33.14,127.51,26.917255,75.793129,0.0
35.83,137.29,26.918898,75.795051,0.0
27.44,126.59,26.917302,75.793186,0.0
44.89,95.51,26.91327,75.788485,1.0
51.67,98.2,26.912794,75.787925,1.0
38.19,122.84,26.917018,75.792851,0.0
46.28,102.24,26.913594,75.788864,1.0
38.31,110.04,26.914781,75.790246,0.0
21.86,133.74,26.918507,75.794591,0.0
31.32,138.54,26.91932,75.795537,1.0
26.25,117.45,26.916069,75.791749,0.0
30.75,113.12,26.915478,75.791061,0.0
29.26,122.52,26.916908,75.792725,0.0
44.28,146.44,26.920221,75.79659,1.0
33.93,128.78,26.918081,75.794096,0.0
26.19,131.98,26.917903,75.793886,0.0
32.51,134.43,26.919019,75.795186,0.0
36.61,115.73,26.916245,75.79196,0.0
36.77,151.92,26.920942,75.797431,1.0
36.98,121.82,26.91654,75.792291,0.0
42.31,145.37,26.919897,75.796214,1.0
40.95,138.65,26.919249,75.79546,1.0
40.05,100.56,26.913545,75.788802,1.0
35.03,98.68,26.913107,75.788288,1.0
35.97,142.36,26.919689,75.795972,1.0
44.19,116.41,26.915878,75.791521,0.0
39.77,104.29,26.914267,75.789644,1.0
49.42,145.29,26.920037,75.796377,1.0
21.13,131.6,26.917795,75.793759,0.0
41.57,95.55,26.913035,75.788208,1.0
29.25,113.29,26.915434,75.791006,0.0
39.15,127.76,26.917931,75.793912,0.0
32.61,126.53,26.917042,75.792878,0.0
49.57,97.27,26.913079,75.788261,1.0
40.62,141.47,26.919461,75.795712,1.0
29.16,120.79,26.916523,75.792279,0.0
36.38,90.49,26.91241,75.787478,1.0
28.81,142.32,26.919667,75.795944,1.0
35.19,105.36,26.914121,75.78948,1.0
41.74,130.06,26.917847,75.793817,0.0
34.92,104.14,26.914355,75.789748,1.0
37.06,142.37,26.920101,75.796452,1.0
41.96,129.02,26.917436,75.79334,0.0
40.13,100.91,26.913978,75.789314,1.0
28.59,113.32,26.915794,75.791424,0.0
44.45,91.58,26.912518,75.787604,1.0
39.08,115.16,26.91609,75.791777,0.0
37.62,139.45,26.919138,75.795332,0.0
40.29,112.29,26.915288,75.790837,0.0
31.64,104.85,26.914164,75.789523,1.0
27.97,134.81,26.919066,75.795248,0.0
44.5,125.67,26.917149,75.793008,0.0
38.67,107.92,26.914567,75.789993,0.0
22.41,132.8,26.918393,75.79446,0.0
46.94,102.44,26.913956,75.789285,1.0
28.48,144.0,26.919775,75.796073,1.0
29.73,135.21,26.918555,75.794643,0.0
47.54,100.56,26.91392,75.789242,1.0
31.85,138.29,26.919384,75.79561,1.0
26.69,121.54,26.916918,75.792737,0.0
23.54,135.2,26.919042,75.795218,0.0
40.79,113.27,26.915273,75.790819,0.0
37.79,133.22,26.918649,75.794758,0.0
35.07,132.37,26.918123,75.794138,0.0
21.92,135.79,26.918754,75.79488,0.0
34.71,140.74,26.919713,75.795999,1.0
22.88,115.65,26.915572,75.791171,0.0
54.49,143.24,26.920313,75.796699,1.0
33.23,101.37,26.913904,75.789226,1.0
38.52,149.27,26.920713,75.797166,1.0
36.04,133.61,26.918276,75.794319,0.0
42.58,99.85,26.91376,75.789061,1.0
51.12,88.33,26.912062,75.787069,1.0
27.57,119.93,26.916788,75.792586,0.0
25.1,123.87,26.916885,75.792697,0.0
42.83,124.53,26.917469,75.793387,0.0
26.25,107.15,26.914679,75.79012,0.0
30.02,109.9,26.915405,75.790977,0.0
31.06,123.97,26.917362,75.793258,0.0
41.31,94.02,26.912202,75.787236,1.0
25.18,109.37,26.915058,75.790573,0.0
20.71,122.62,26.91682,75.792629,0.0
46.88,145.4,26.919872,75.796188,1.0
39.76,151.83,26.920932,75.797413,1.0
36.55,98.12,26.913378,75.788608,1.0
27.15,107.35,26.914738,75.790193,0.0
48.04,98.68,26.913574,75.788838,1.0
23.62,108.61,26.915081,75.790596,0.0
49.35,94.18,26.912838,75.787981,1.0
34.0,136.79,26.919108,75.795286,0.0
42.08,136.56,26.919334,75.795554,1.0
43.36,125.91,26.917805,75.793779,0.0
22.66,133.56,26.918656,75.794768,0.0
31.54,103.55,26.913802,75.7891,1.0
36.99,134.87,26.918625,75.794725,0.0
40.75,138.57,26.919295,75.795515,1.0
27.55,128.36,26.917618,75.793548,0.0
41.24,100.26,26.913633,75.788908,1.0
41.38,114.74,26.915745,75.791368,0.0
23.69,112.63,26.915075,75.79058,0.0
23.83,122.94,26.916749,75.792543,0.0
27.07,108.99,26.914398,75.789801,0.0
27.11,126.76,26.917524,75.79344,0.0
37.55,151.89,26.920882,75.797364,1.0
37.42,100.2,26.913672,75.788948,1.0
33.04,108.4,26.915156,75.790686,0.0
23.77,117.59,26.915776,75.791407,0.0
27.23,128.75,26.917979,75.793974,0.0
35.8,142.84,26.919916,75.796242,1.0
38.32,120.05,26.916297,75.792014,0.0
36.28,123.07,26.916838,75.792641,0.0
47.89,148.52,26.920497,75.79691,1.0
32.85,103.0,26.914316,75.789702,1.0
31.84,131.65,26.918063,75.794068,0.0
41.9,104.19,26.914091,75.789435,1.0
23.44,118.86,26.91615,75.791847,0.0
40.78,114.55,26.915986,75.79165,0.0
50.32,97.77,26.913368,75.788597,1.0
28.65,123.84,26.916768,75.792561,0.0
26.52,130.08,26.917602,75.79354,0.0
30.41,131.85,26.918045,75.794055,0.0
43.76,101.63,26.913993,75.789326,1.0
40.97,90.24,26.912349,75.787407,1.0
47.83,97.18,26.913043,75.788222,1.0
42.63,132.82,26.918724,75.794841,0.0
50.84,91.13,26.912275,75.787319,1.0
39.65,100.78,26.913874,75.789181,1.0
24.39,111.47,26.914793,75.790262,0.0
36.67,132.25,26.918349,75.794406,0.0
43.32,101.87,26.913414,75.788651,1.0
29.76,121.37,26.916272,75.791985,0.0
24.23,134.42,26.91829,75.794336,0.0
29.36,109.16,26.915261,75.790811,0.0
27.53,119.76,26.916196,75.791899,0.0
31.46,140.82,26.91944,75.795679,1.0
48.46,95.39,26.913234,75.78844,1.0
26.19,115.5,26.915804,75.791438,0.0
51.61,100.42,26.913344,75.788571,1.0
35.16,124.68,26.9171,75.792949,0.0
51.39,97.95,26.913624,75.788887,1.0
51.86,88.47,26.912194,75.787222,1.0
54.81,146.03,26.920444,75.796855,1.0
42.47,121.81,26.916608,75.792373,0.0
24.39,113.52,26.915527,75.791118,0.0
42.74,111.85,26.915177,75.790707,0.0
21.56,135.8,26.919149,75.795347,0.0
35.5,99.06,26.912974,75.788133,1.0
29.67,119.04,26.916572,75.792332,0.0
26.02,107.29,26.914631,75.790063,0.0
36.26,138.11,26.919257,75.795469,1.0
20.35,110.16,26.914868,75.790346,0.0
33.59,138.61,26.918938,75.795091,0.0
30.31,133.4,26.918327,75.794376,0.0
26.34,117.63,26.91628,75.792,0.0
21.98,118.13,26.916174,75.791875,0.0
48.28,99.61,26.913127,75.788315,1.0
40.29,108.32,26.914459,75.789871,0.0
27.29,135.98,26.91883,75.794966,0.0
44.14,135.11,26.918983,75.795144,0.0
54.38,92.0,26.912603,75.787703,1.0
41.17,143.95,26.920398,75.796797,1.0
23.45,125.93,26.917242,75.793117,0.0
44.07,90.74,26.912328,75.787381,1.0
40.54,142.68,26.919809,75.796114,1.0
47.71,89.22,26.912143,75.787167,1.0
46.13,137.6,26.91948,75.795725,1.0
26.39,114.92,26.915515,75.791098,0.0
50.57,147.86,26.920648,75.797098,1.0
36.76,109.19,26.914954,75.790448,0.0
43.45,117.67,26.915886,75.791535,0.0
23.97,114.89,26.915815,75.79145,0.0
45.73,145.13,26.919967,75.796297,1.0
37.1,135.03,26.918435,75.794505,0.0
39.39,107.55,26.914444,75.789858,0.0
52.56,92.56,26.9124,75.787459,1.0
42.51,140.46,26.919501,75.79575,1.0
53.81,98.45,26.913165,75.788361,1.0
26.24,120.39,26.916557,75.792322,0.0
28.33,114.86,26.915865,75.791505,0.0
39.16,114.45,26.915969,75.791633,0.0
38.76,114.89,26.915315,75.790866,0.0
36.99,120.65,26.916504,75.792247,0.0
29.9,129.03,26.917787,75.79375,0.0
46.27,151.17,26.920737,75.79719,1.0
21.4,133.04,26.918452,75.794529,0.0
32.99,104.5,26.91411,75.789466,1.0
35.35,136.85,26.919126,75.795317,0.0
48.72,143.32,26.920415,75.796816,1.0
51.43,148.06,26.920543,75.796964,1.0
54.79,92.31,26.912181,75.78721,1.0
31.16,123.06,26.916588,75.792346,0.0
40.67,128.22,26.91758,75.793507,0.0
43.42,128.9,26.9175,75.793415,0.0
24.72,104.64,26.914438,75.789843,0.0
46.31,150.91,26.920919,75.797399,1.0
34.75,106.2,26.914487,75.789901,0.0
45.18,142.55,26.920108,75.796467,1.0
39.41,105.52,26.914004,75.789338,1.0
29.21,137.67,26.919226,75.795428,1.0
31.05,110.8,26.915466,75.791048,0.0
35.39,126.94,26.917389,75.793284,0.0
33.15,106.1,26.914496,75.789914,0.0
54.37,95.89,26.912661,75.78777,1.0
38.45,100.27,26.913944,75.789265,1.0
39.24,104.12,26.913778,75.789071,1.0
36.44,133.67,26.918959,75.795121,0.0
46.69,145.64,26.920373,75.796769,1.0
40.34,91.69,26.912159,75.787183,1.0
21.15,106.53,26.914594,75.790022,0.0
38.02,141.74,26.919596,75.795861,1.0
32.07,138.22,26.919056,75.795232,0.0
47.15,144.25,26.919826,75.79613,1.0
33.8,105.09,26.914424,75.789828,0.0
44.18,110.78,26.914858,75.790331,0.0
26.06,134.96,26.918839,75.794983,0.0
40.13,149.08,26.920961,75.797454,1.0
49.58,91.19,26.912541,75.787634,1.0
33.87,133.68,26.918683,75.794794,0.0
31.29,111.32,26.915238,75.790779,0.0
35.37,125.68,26.917662,75.793605,0.0
33.35,116.61,26.916018,75.791692,0.0
30.22,131.67,26.917822,75.793792,0.0
